department  related to  name                           license period  material / not material  license type  link                                                                  comment
----------  ----------  ----                           --------------  -----------------------  ------------  ----                                                                  -------
Rythan     client       gulp-debug                     perpetual       material                 MIT           https://github.com/sindresorhus/gulp-debug                            2.1.2
Rythan     client       @babel/core                    perpetual       material                 MIT           https://github.com/babel/babel/tree/master/packages/babel-core        7.8.4
Rythan     client       @babel/preset-env              perpetual       material                 MIT           https://github.com/babel/babel/tree/master/packages/babel-preset-env  7.8.4
Rythan     client       bower                          perpetual       material                 MIT           git+https://github.com/bower/bower.git                                1.7.10
Rythan     client       browser-sync                   perpetual       material                 Apache-2.0    git+https://github.com/browsersync/browser-sync.git                   2.9.12
Rythan     client       browser-sync-spa               perpetual       material                 ISC           https://github.com/shakyShane/browser-sync-spa                        1.0.3
Rythan     client       chalk                          perpetual       material                 MIT           git+https://github.com/chalk/chalk.git                                1.1.3
Rythan     client       connect-modrewrite             perpetual       material                 MIT           git+https://github.com/tinganho/connect-modrewrite.git                0.9.0
Rythan     client       del                            perpetual       material                 MIT           https://github.com/sindresorhus/del                                   2.0.2
Rythan     client       eslint-plugin-angular          perpetual       material                 MIT           git+https://github.com/Gillespie59/eslint-plugin-angularjs.git        0.12.0
Rythan     client       estraverse                     perpetual       material                 BSD-2-Clause  git+ssh://git@github.com/estools/estraverse.git                       4.1.1
Rythan     client       gulp                           perpetual       material                 MIT           git+https://github.com/gulpjs/gulp.git                                3.9.1
Rythan     client       gulp-angular-filesort          perpetual       material                 MIT           git://github.com/klei/gulp-angular-filesort                           1.1.1
Rythan     client       gulp-angular-templatecache     perpetual       material                 MIT           git+https://github.com/miickel/gulp-angular-templatecache.git         1.8.1
Rythan     client       gulp-autoprefixer              perpetual       material                 MIT           git+https://github.com/sindresorhus/gulp-autoprefixer.git             3.0.2
Rythan     client       gulp-babel                     perpetual       material                 MIT           git+https://github.com/babel/gulp-babel.git                           8.0.0
Rythan     client       gulp-clean-css                 perpetual       material                 MIT           git+https://github.com/scniro/gulp-clean-css.git                      2.0.3
Rythan     client       gulp-cssnano                   perpetual       material                 MIT           git+https://github.com/ben-eb/gulp-cssnano.git                        2.1.3
Rythan     client       gulp-eslint                    perpetual       material                 MIT           git+https://github.com/adametry/gulp-eslint.git                       1.0.0
Rythan     client       gulp-filter                    perpetual       material                 MIT           git+https://github.com/sindresorhus/gulp-filter.git                   3.0.1
